name,role,country,state,city,industries,sectors,stages,department,ministry,id,email,phone,image,description,budget,type,portfolios,contacts,badges
Nipun Grover,Mentor,India,Delhi,New Delhi,Finance Technology Internet of Things Professional & Commercial Services,Mobile wallets  Payments Point of Sales Payment Platforms Billing and Invoicing Advisory Business Finance Accounting Others Business Support Services Professional Information Services,Prototype EarlyTraction,,,5eba9196e4b03b2ccef377fa,XXXXXXX@gmail.com,0,5b34396d-5ee1-49df-a162-aca797968daf.jpg,"I am a Chartered Accountant with approx 11 years of Experience of startupIndustry India. I have been part of number of investment rounds for companieslike Mobikwik, Aircel Money, Cardpe etc. I have been extensively associatedwith startups in payments industry (Payment gateways, mobile wallets, POS),e-commerce, marketplace entity, financial advisory. There are startups whichfail as a result of poor finance management of the company. I help thesefounders in making a sound financial plan for the company wherein the founderswould be focused on generating revenue.  ",,,,,['TIE_REGISTERED']
Shineel,Mentor,India,Haryana,Gurugram,Design Retail Social Impact,Others Social Commerce Comparison Shopping Others,Prototype Validation EarlyTraction,,,5eb9aba8e4b03b2ccef36828,XXXXXXX@gmail.com,0,e370b364-212e-4b22-8513-007ca2f10f52.jpg,"Shineel is the Founder and CEO at â€˜THE HOUSE OF ARTISANSâ€™.  An entrepreneur since the age of 17.  Shineelâ€™s entrepreneurial journey has taken her around the world.  Best known for her ability to create exceptional consumer brands and customerexperiences  She has been creating a significant social impact through THE HOUSE OFARTISANS with it being recognised by stalwart like NASSCOM and Upaya SocialVentures       Shineel is also a startup mentor with incubation programs like IIM Kashipurincubation cell, Echai etc.  Shineel is a known keynote speaker at best Management and Design Institutes inthe country like IIMs, MDI, IIFT, NMIMS, NIFT, NID; also several industryevents like The Indian Retail Summit etc.    Here are a few links  <https://yourstory.com/herstory/2019/09/gurugram-startup-the-house-of-artisans>  <https://sheroes.com/articles/helping-artisans-realize-their-value/MTIxNzQ>  <https://www.marketingmind.in/from-a-corporate-job-to-a-multi-crore-business-the-story-of-shineel-is-inspiring/>    <https://www.goodhomes.co.in/shopping/trending/covid-crusaders-shineel-varun-s-arora-6265.html>    ",,,,,['TIE_REGISTERED']
Vishnu BG,Mentor,India,Tamil Nadu,Coimbatore,Analytics,Business Intelligence,Prototype Validation EarlyTraction Scaling,,,5eb7a492e4b03b2ccef33da9,XXXXXXX@gmail.com,0,1b4261ef-13c4-4e80-a750-c9f017862827.jpg,"Management Consultant with rich expertise in Market Expansion, MarketStrategy, Product Strategy, Talent Strategy, Digital Transformation Strategy,M&As, Accelerator Setup, VC funding. Have closely worked with the topmanagement of multiple Fortune 500 companies. Core member in Nasscom IndiaStartup report and GIC report for the last few years. Internal jury member forNasscom Startup Awards and ET Startup Awards. Helped few large MNCs to setuptheir startup accelerators in India by designing the entire structure of theaccelerator, curriculum and helped them to on-board startupâ€™s. He is also alead investor in NAN.",,,,,['TIE_REGISTERED']
"Advocate & Solicitor, Pratibha Sunil Varghese",Mentor,India,Maharashtra,Pune,Professional & Commercial Services,Business Support Services Commercial Printing Services Others Professional Information Services,Validation EarlyTraction Scaling,,,5eb10c28e4b03286995c48e5,XXXXXXX@gmail.com,0,a1740087-7e4e-4e97-a6fb-92d9e0c60ff7.jpg,"Pratibha Sunil Varghese is a lawyer and Solicitor who been in the legalprofession for 26 plus years.  She has previously worked with leading lawfirms in Mumbai and Pune.  Pratibha is  the founder of the  law firm called '**PSV Associates, Advocates & Solicitors**'  in Pune, Maharashtra.   She hasbeen involved in a number of corporate transactions like  mergers &acquisitions, PE, etc.  Pratibha's  expertise includes  business laws throughwhich she  able to help start ups through the maze of laws that applies totheir business, not just during ideation & inception stages,  but also as theygrow.    She has been a mentor with 91 Springboard, Yerwada Pune, Maharashtra andadvised startups during her Mentor Hours with them.    ",,,,,['TIE_REGISTERED']
Prashant Chourasia,Mentor,India,Uttar Pradesh,Noida,Marketing AI Analytics Telecommunication & Networking Computer Vision Dating Matrimonial Education Enterprise Software Finance Technology Food & Beverages Healthcare & Lifesciences Human Resources Internet of Things Retail Other Specialty Retailers Safety Security Solutions House-Hold Services Social Impact Social Network Transportation & Storage Travel & Tourism Advertising Agriculture Waste Management Passenger Experience,"Sales Loyalty Discovery Branding Digital Marketing (SEO Automation) Market Research Others Machine Learning NLP Others Business Intelligence Big Data Data Science Others Wireless Integrated communication services Network Technology Solutions Others Others Others E-learning Education Technology Skill Development Coaching Others Cloud ERP CXM SCM Customer Support Collaboration Location Based Enterprise Mobility Others Crowdfunding Mobile wallets  Payments Point of Sales Payment Platforms Trading Billing and Invoicing Personal Finance Insurance Advisory Business Finance P2P Lending Bitcoin and Blockchain Microfinance Foreign Exchange Accounting Others Restaurants Microbrewery Food Processing Others Medical Devices Biomedical Health & Wellness Pharmaceutical Biotechnology Healthcare Services Healthcare IT Healthcare Technology Others Recruitment Jobs Training Skills Assessment Talent Management Internships Others Smart Home Manufacturing & Warehouse Wearables Others Retail Technology Social Commerce Comparison Shopping Others Auto Vehicles, Parts & Service Retailers Home Improvement Products & Services Retailers Home Furnishings Retailers Computer & Electronics Retailers Others Personal Security Others Cyber Security Home Security solutions Others Personal Care Laundry Baby Care Home Care Others NGO Others Others Freight & Logistics Services Passenger Transportation Services Transport Infrastructure Others Holiday Rentals Hotel Experiential Travel Ticketing Hospitality Facility Management Others AdTech Online Classified Others Dairy Farming Organic Agriculture Agri-Tech Food Processing Others Others Others",Prototype Validation EarlyTraction Scaling,,,5ea7f80ae4b03286995b8a78,XXXXXXX@gmail.com,0,,"As an entrepreneur, consultant, and senior manager with, 5+ years ofexperience in the startup ecosystem,  driving superior consulting, operations,and overall business leadership, I possess a wide range of knowledge, network,and experience. I have previously worked with incubators, managed variousuniversity and college incubators, and IPR Cell served as a mentor to manystudents and scaling startups. Currently, I am supporting E-spark - ViridianAccelerator Center based out of Greater Noida as the Business Enabler, andhandling portfolio companies based out of all centers (NCR, Bangalore, Mumbai,Chandigarh, and Ahmedabad) also an IPR consultant to a few universities andcolleges across the nation. Along with all this, I own a travel andhospitality company.Prashant is a serial entrepreneur and has been an active member of the Indianstartup ecosystem for the past 6+years. He is specialized in the fields ofBusiness Development, Strategy, Go-to-market, and Fundraising. He has alsoworked and mentored multiple early-stage venturesï»¿ in diverse fields likeHealth Technology, Food Technology, Agricultural Technology, EducationTechnology, Travel and Tourism, E-commerce, and Real Estate. His greateststrength is his ability to develop a clear vision and strategy and alignpeople according to it.He has completed his B.Tech (CSE), PGPM Finance (ICFAI), and GeneralManagement from IIM Bangalore.  Prashant was one of the evaluators at Smart India Hackaton(2019 and 2020)organized by MHRD, GoI, and is one of the Idea evaluators at Idea Challange2020 organized by Ministry of MSME, GoI.  His expertise lies in successfully creating and implementing strategicoperational processes, coaching and developing employees, and managingbusiness development efforts to revenue increases.",,,,,['TIE_REGISTERED']
Krupakar Parthasarathy,Mentor,India,Tamil Nadu,Chennai,Healthcare & Lifesciences,Medical Devices Biomedical Health & Wellness Pharmaceutical Biotechnology Healthcare Services Healthcare IT Healthcare Technology Others,Prototype Validation,,,5ea4afe3e4b0363cb633addd,XXXXXXX@gmail.com,0,7f4c1ed0-a2e8-4650-b479-c9fc715c1648.jpg,"Dr. Krupakar Parthasarathy is currently working as Scientist D in Centre forDrug Discovery and Development (CDDD), Sathyabama Institute of Science andTechnology, Chennai, India. He was trained in Infectious diseases (SARS andDengue) drug and diagnostics development in Yong Loo Lin School of Medicine,National University of Singapore (NUS) and in Nanyang technological University(NTU), Singapore from 2004 to 2015. He was working in the development ofaptamer-based diagnostics and therapeutics for Dengue and West Nile Virus withthe NUS, A*STAR institute and Fujitsu bio-laboratories. He was trained as aprotein chemist and structural biologist in NTU in the school of biologicalsciences in determining the structure and function of the coronavirus envelopeprotein (SARS, MERS, IBV and MHV) as drug target and its involvement inpathogenesis. Currently his research focus is on the deciphering the rolemultifunctionality of membrane proteins of infectious diseases pathogens likeDengue, HSV, SARS and TB, disease pathogenesis and related drug anddiagnostics development.",,,,,['TIE_REGISTERED']
Atit Jain,Mentor,India,Delhi,New Delhi,Aeronautics Aerospace & Defence AI Art & Photography Automotive Telecommunication & Networking Construction Design Education Non- Renewable Energy Renewable Energy Green Technology Enterprise Software Events Fashion Finance Technology Food & Beverages Technology Hardware Healthcare & Lifesciences IT Services Media & Entertainment Nanotechnology Professional & Commercial Services Real Estate Retail Robotics Safety Security Solutions House-Hold Services Social Network Sports Textiles & Apparel Transportation & Storage Travel & Tourism Advertising Agriculture Others Logistics Waste Management Biotechnology,"Drones Others Machine Learning NLP Others Handicraft Art Photography Others Auto & Truck Manufacturers Auto, Truck & Motorcycle Parts Tires & Rubber Products Others Electric Vehicles Wireless Integrated communication services Network Technology Solutions Others New-age Construction Technologies Construction Materials Construction & Engineering Construction Supplies & Fixtures Homebuilding Others Web Design Industrial Design Others E-learning Education Technology Skill Development Coaching Others Oil & Gas Exploration and Production Oil & Gas Drilling Oil Related Services and Equipment Oil & Gas Transportation Services Others Renewable Solar Energy Renewable Wind Energy Renewable Nuclear Energy Renewable Energy Solutions Others Waste Management Clean Tech Others Cloud ERP CXM SCM Customer Support Collaboration Location Based Enterprise Mobility Others Weddings Event Management Others Fashion Technology Lifestyle Apparel Fan Merchandise Jewellery Others Crowdfunding Mobile wallets  Payments Point of Sales Payment Platforms Trading Billing and Invoicing Personal Finance Insurance Advisory Business Finance P2P Lending Bitcoin and Blockchain Microfinance Foreign Exchange Accounting Others Restaurants Microbrewery Food Processing Others Embedded Semiconductor Electronics 3d printing Others Manufacturing Medical Devices Biomedical Health & Wellness Pharmaceutical Biotechnology Healthcare Services Healthcare IT Healthcare Technology Others IT Consulting BPO KPO Web Development Product Development Application Development Testing IT Management Project Management Others Digital Media News Digital Media Video Digital Media Blogging Digital Media Publishing Digital Media Movies OOH Media Social Media Entertainment Others Others Environmental Services & Equipment Commercial Printing Services Employment Services Business Support Services Professional Information Services Business Support Supplies Others Housing Coworking Spaces Others Retail Technology Social Commerce Comparison Shopping Others Robotics Technology Robotics Application Others Personal Security Others Cyber Security Home Security solutions Others Personal Care Laundry Baby Care Home Care Others Others Fantasy Sports Sports Promotion and Networking Others Leather Textiles Goods Non- Leather Textiles Goods Apparel & Accessories Leather Footwear Non- Leather Footwear Others Freight & Logistics Services Passenger Transportation Services Transport Infrastructure Others Holiday Rentals Hotel Experiential Travel Ticketing Hospitality Facility Management Others AdTech Online Classified Others Dairy Farming Organic Agriculture Agri-Tech Food Processing Others Others Others Others Others",Prototype Validation EarlyTraction Scaling,,,5ea43a13e4b0363cb633a3e5,XXXXXXX@gmail.com,0,4a964abb-f2cb-4e6d-aaba-e0e1982545f2.JPG,"A seasoned Advocate and Trademark Attorney with a PG Diploma in InternationalTrade and Business Laws and having over 18 years of experience across allCourts/ Tribunals/ Commissions in Litigation (civil, criminal, companymatters), Corporate drafting (deeds, agreements, MOU etc.), IPR laws(Trademark, Copyright, Patent), International laws and Startup Consulting.Enrolled with the Bar Council of Delhi and Member of Supreme Court and DelhiHigh Court Bar Association.Having experience of dealing with some famous IPR cases like RUPA, MAGGI,Guruji Thandai, INTEX AQUA, negotiations & cases pertaining to StandardEssential Patents (SEP), FRAND Terms and Royalty considerations.Mentor/ Speaker with many organizations like Cherie Blaire Foundation forWomen (CBFW), National Entrepreneurship Network (NEN Global), IIT Delhi and 91springboard.Leading the law firm â€˜LEX EXCEL, Advocates & Solicitorsâ€™ since 2010 which is aleading service provider in consulting, contract drafting & management, IPRlaws (Trademark, Copyright, Patent), International laws, Startup structuring &Litigation and caters global clients inclusive of individuals, firms,corporates and startups.",,,,,['TIE_REGISTERED']
Aman Sharma,Mentor,India,Uttar Pradesh,Noida,AI Analytics Computer Vision Enterprise Software Internet of Things IT Services,Machine Learning NLP Others Business Intelligence Big Data Data Science Others Others Cloud Smart Home Manufacturing & Warehouse IT Consulting BPO KPO Web Development Product Development Application Development Testing IT Management Project Management Others,Prototype Validation EarlyTraction Scaling,,,5e9dc58de4b0363cb632f441,XXXXXXX@gmail.com,0,5404231b-a287-4b0f-a53c-a543c895a70e.png,"CTO and Co-founder at Twimbit , Singapore.Founder and Lead at Mobile-web.devMember of OpenSource Initiative and AMPFounder of Atlancey & KiEvents , IndiaFormer Recommender System Engineer at Upsell.ai , GreeceFormer Web Engineer at Tomorrow Systems , ItalyFormer Research Engineer at TU Wien, AustriaBefore successfully exiting 2 tech startups, he worked with many foreign andIndian Startups at various roles in the field of Web technologies and AIespecially in recommender systems and hybrid app developments.He has done hisengineering in Computer science from BIT Mesra, Ranchi. He did his research inrecommender systems , ML from TU Wien and deployed AI system stack for hotelsin Europe.",,,(Aleph AI - URL: https://www.alephai.co/) | (Twimbit - URL: https://twimbit.com) | (Atlancey - URL: https://atlancey) | ,,['TIE_REGISTERED']
Utsav Hirani,Mentor,India,Gujarat,Ahmedabad,Aeronautics Aerospace & Defence AI Analytics Computer Vision,Drones Others Machine Learning NLP Others Business Intelligence Big Data Data Science Others Others,Prototype Validation EarlyTraction Scaling,,,5e99f970e4b0363cb63280f6,XXXXXXX@gmail.com,0,79d7a821-7ec8-474b-88aa-40210d586b86.jpeg,"Utsav Hirani is a chartered accountant in practice with over 9 years ofexperience in advisory space for multinationals.  He has been involved in IFRS converged Ind AS implementation of various MNCsand large and medium sized Indian listed companies on NSE and BSE. Further, heis also a registered valuer and has been involved in the valuations of some ofthe large acquisitions in Western Region. His key focus has been valuation ofshares and intangible assets (brands, trademarks, patents and licences).Combined with his technical command over Ind AS he has provided usefulinsights to the management on valuations at time of acquisitions,amalgamations and de - mergers.  He has also played a pivotal role in equity and debt listing/ bond listing ofIndian securities in international and national stock exchanges for clients inthe Western Region.  Sectoral focus in industries such as Power & Energy, Pharmaceuticals, LifeScience, Health Care, Industrial Markets, Retail, Consumer Markets, RealEstates, Transport & Logistics and Other Services sectors. Part of the coreteam in audit function for Consumer Market sector initiatives.  Experienced professional in Initial Public offerings, Transaction services,FEMA, Security laws, IFRS and audit of shared service centres  Demonstrated skills at effectively managing a portfolio of audits and leadingaudit teams. Dedicated and self motivated, focussed, quick learner andproactive in completing assignments per desired quality standards.  Excellent communication, interpersonal, problem solving and leadership skills.Possesses excellent skills at team playing and identifying and responding toclient needs.  Delivered lectures on Consolidation of Financial Statements, BusinessCombinations and Key Audit matters at Ahmedabad Branch of WIRC of ICAI  Specialties: Merger & Acquisition Accounting and Purchase Price Allocations,Transaction Support to the Financial Due Diligence team for GAAP relatedmatters, Financial Re- Statements, IFRS, Financial Statement Audit, CompanyLaw Matters, Company Formations and Financial instrument Accounting",,,(Starters  - URL: https://scarters.com/?gclid=EAIaIQobChMIgvrHno_w6AIVkLaWCh1DGAkfEAAYASAAEgIXyfD_BwE) | (Urban Khichadi - URL: https://franchiseinsider.in/franchise/urban-khichdi/) | ,,['TIE_REGISTERED']
Sanil Rathod,Mentor,India,Maharashtra,Mumbai,Analytics Art & Photography Telecommunication & Networking Dating Matrimonial Green Technology Events Fashion Food & Beverages IT Services Media & Entertainment Other Specialty Retailers Social Network Sports Textiles & Apparel Travel & Tourism Advertising Others Logistics Airport Operations,"Business Intelligence Big Data Data Science Others Handicraft Art Photography Others Wireless Integrated communication services Network Technology Solutions Others Others Waste Management Clean Tech Others Weddings Event Management Others Fashion Technology Lifestyle Apparel Fan Merchandise Jewellery Others Restaurants Microbrewery Food Processing Others IT Consulting BPO KPO Web Development Product Development Application Development Testing IT Management Project Management Others Digital Media News Digital Media Video Digital Media Blogging Digital Media Publishing Digital Media Movies OOH Media Social Media Entertainment Others Auto Vehicles, Parts & Service Retailers Home Improvement Products & Services Retailers Home Furnishings Retailers Computer & Electronics Retailers Others Others Fantasy Sports Sports Promotion and Networking Others Leather Textiles Goods Non- Leather Textiles Goods Apparel & Accessories Leather Footwear Non- Leather Footwear Others Holiday Rentals Hotel Experiential Travel Ticketing Hospitality Facility Management Others AdTech Online Classified Others Others Others Others",Prototype Validation EarlyTraction Scaling,,,5e985144e4b0363cb63226cb,XXXXXXX@gmail.com,0,bbe4b6f3-3f7e-4df1-abd7-caeb07cb7611.jpg,"I am a charted accountant with a 10 year experience (wherein its been 8 yearsthat i have been working with a Big 4) and looking forward to work and guidenew startups. I have closely worked with MNC's and have assisted them insetting up operations in India and have seen how they have scaled up  theiroperation post that. I love to see the dynamism in the Indian startuplandscape and would love to share my insight and knowledge regarding taxation,regulatory, financial and other essential elements. I believe it is imperativethat a good idea is nurtured in great way to get the desired results.Entrepreneurs primarily should focus on the business elements which are themost essential element in growth of a business.  With the above ideology, i would love to engage with start-ups, help themthink out of the box and guide them in matters which would help them flourish.  I would like to end with my favorite quote of Mr APJ Abdul Kalam  .â€œYou have to dream before your dreams can come true.â€  ",,,,,['TIE_REGISTERED']
Akshay Goyal,Mentor,India,Haryana,Gurugram,AR VR (Augmented + Virtual Reality) Architecture Interior Design Art & Photography Construction Design Green Technology Fashion Technology Hardware Internet of Things Professional & Commercial Services Real Estate Social Impact Travel & Tourism,Others Others Handicraft Art Photography Others New-age Construction Technologies Construction Materials Construction & Engineering Construction Supplies & Fixtures Homebuilding Others Web Design Industrial Design Others Waste Management Clean Tech Others Fashion Technology Lifestyle Apparel Fan Merchandise Jewellery Others Embedded Semiconductor Electronics 3d printing Others Manufacturing Smart Home Manufacturing & Warehouse Wearables Others Environmental Services & Equipment Commercial Printing Services Employment Services Business Support Services Professional Information Services Business Support Supplies Others Housing Coworking Spaces Others NGO Others Holiday Rentals Hotel Experiential Travel Ticketing Hospitality Facility Management Others,Prototype Validation EarlyTraction,,,5e91a95ae4b0363cb6313107,XXXXXXX@gmail.com,0,,"Akshay is an architect working at the intersection of design innovation,technology and urban futures.  He is the Director of innovation at Architron Group, a design and architecturepractice operating internationally. He has previously worked withorganizations in the US, UK and India. His work and research has focused onreimagining the future of the built environment and cities (Xprize Foundation,Harvard University, MIT, TheVeryMany) and design innovation for sustainablehabitat (Government of India, Indian Institute of Technology, HUDCO,Development Alternatives).  His work has won a number of international honors including awards from IndianInstitute of Interior Designers, SEED Public Interest Design, Harvard ArtsFirst, ArchiDesign Awards and has been presented internationally at forumssuch as UIA World Architecture Congress, London Design Festival, ACADIA, TEDxamong others.  Akshay is a visiting professor at SSAA, India and has taught at HarvardUniversity, MIT, Shih Chein University & SPA, Delhi. He is an active designmentor and jury member at forums like Techstars, Microsoft Hack, AAVS amongstother places. Akshay is a TATA scholar, an Urban Innovation Fellow and is theCo Chair of Harvard Alumni Entrepreneurs India. He is an alumnus of HarvardUniversity and Architectural Association School of Architecture.",,,(Urban Air Labs/ Ubreathe - URL: https://www.ubreathe.in/) | ,,[]
ANAND DAMDIYAL,Mentor,India,Uttarakhand,Pithoragarh,AI Animation Art & Photography Telecommunication & Networking Computer Vision Finance Technology Internet of Things Professional & Commercial Services,Machine Learning NLP Others Others Handicraft Art Photography Others Wireless Integrated communication services Network Technology Solutions Others Others Crowdfunding Mobile wallets  Payments Point of Sales Payment Platforms Trading Billing and Invoicing Personal Finance Insurance Advisory Business Finance P2P Lending Bitcoin and Blockchain Microfinance Foreign Exchange Accounting Others Smart Home Manufacturing & Warehouse Wearables Others Environmental Services & Equipment Commercial Printing Services Employment Services Business Support Services Professional Information Services Business Support Supplies Others,Prototype Validation EarlyTraction Scaling,,,5e8c345ee4b0d5becce26e36,XXXXXXX@gmail.com,0,c0e6d2fc-3367-42eb-bd59-65bd6137f8b7.jpg,"Special Skills Director Fedral Humanity Force | Social Activists |EthicalHacker Corporate Investigator | Forex Trading Expert  I started a tech , Gadget & marketing business along with a few friends ofmine to help out small businesses over 6 years ago. Eventually, I launched afew more ventures of my own. Can't say I'm the most successful of the lot butwhen it comes to knowledge and experience, I'm no short of it. Coming out froman upper middle class household, I literally started with nothing. I knew nonein the industry back then. It was a trial and error process with bitterstruggles. If there's one thing that I'd want my fellow entrepreneurs to know,it'd be ""Stick to what you dreamt of. Don't let go of it no matter what. Itwill happen.""  How to work with meWhat I can offerHow entrepreneurs can prepare before we start Brainstorm and come up with acrazy idea! We'll take things forward from there.  My expectations for a successful mentoring relationshipHow to work with me What I can offer I'm excel in the fields of technology andmarketing. I can work with you on starting out, scaling up and sustaining.  My expectations for a successful mentoring relationship I like to work withpeople who have a professional approach and are serious about learning thecraft.  How entrepreneurs can prepare before we startBrainstorm and come up with a crazy idea! We'll take things forward fromthere.  ExperienceJob title: CORPORATE INVESTIGATION , BUSINESS CONSULTANCYCompany: Fedral Humanity ForceOwnership experience: 5 yearsManagement experience: 10 yearsCountry experience: IndiaExpertiseManagement: Board DevelopmentManagement: Business InsuranceManagement: Business StrategyManagement: FundraisingManagement: Growth and DevelopmentManagement: LeadershipManagement: Other ManagementManagement: Planning and Goal SettingManagement: Work-Life BalanceOperations: Other OperationsStarting Up: Business PlanningStarting Up: FranchisingStarting Up: Getting StartedStarting Up: Legal StructureStarting Up: Location and ZoningStarting Up: Other Business PlanningTechnology and Internet: E-CommerceTechnology and Internet: Managing TechnologyTechnology and Internet: Technology and InternetTechnology and Internet: Technology PlanningTechnology and Internet: TelecommunicationsTechnology and Internet: Website DesignTechnology and Internet: Other Technology and Internet",,,,,[]
Pranav Mahajani,Mentor,India,Maharashtra,Mumbai,Marketing Architecture Interior Design Chemicals Dating Matrimonial Education Green Technology Fashion Finance Technology Food & Beverages Technology Hardware Healthcare & Lifesciences Internet of Things Pets & Animals Retail Other Specialty Retailers House-Hold Services Transportation & Storage Agriculture Others Biotechnology,"Sales Loyalty Discovery Branding Digital Marketing (SEO Automation) Market Research Others Others Commodity Chemicals Agricultural Chemicals Specialty Chemicals Diversified Chemicals Others Others E-learning Education Technology Skill Development Coaching Others Waste Management Clean Tech Others Fashion Technology Lifestyle Apparel Fan Merchandise Jewellery Others Crowdfunding Mobile wallets  Payments Point of Sales Payment Platforms Trading Billing and Invoicing Personal Finance Insurance Advisory Business Finance P2P Lending Bitcoin and Blockchain Microfinance Foreign Exchange Accounting Others Restaurants Microbrewery Food Processing Others Embedded Semiconductor Electronics 3d printing Others Manufacturing Medical Devices Biomedical Health & Wellness Pharmaceutical Biotechnology Healthcare Services Healthcare IT Healthcare Technology Others Smart Home Manufacturing & Warehouse Wearables Others Others Retail Technology Social Commerce Comparison Shopping Others Auto Vehicles, Parts & Service Retailers Home Improvement Products & Services Retailers Home Furnishings Retailers Computer & Electronics Retailers Others Personal Care Laundry Baby Care Home Care Others Freight & Logistics Services Passenger Transportation Services Transport Infrastructure Others Dairy Farming Organic Agriculture Agri-Tech Food Processing Others Others Others",Prototype Validation Scaling,,,5e8c2fdde4b0d5becce26db7,XXXXXXX@gmail.com,0,3cee03c5-bbd6-4c37-aa9c-b0dfb9c87e56.jpg,"I would be happy to assist founders in validating their business plans,helping them to get prepared for seeking VC/PE funding and eventuallyconnecting them to investor. Post funding continue guiding the company to takethe business to the next level and achieve scale and profitability",,,,,[]
Mithileysh Sathiyanarayanan,Mentor,India,Karnataka,Bengaluru,Analytics Agriculture AI Design Education Technology Hardware Healthcare & Lifesciences Internet of Things Human Resources Waste Management Others,Big Data Business Intelligence Data Science Others Agri-Tech Animal Husbandry Dairy Farming Fisheries Food Processing Horticulture Organic Agriculture Others Machine Learning NLP Others Industrial Design Others Web Design Coaching E-learning Education Technology Others Skill Development 3d printing Electronics Embedded Manufacturing Others Semiconductor Biotechnology Health & Wellness Healthcare IT Healthcare Services Healthcare Technology Medical Devices Biomedical Others Pharmaceutical Manufacturing & Warehouse Others Smart Home Wearables Internships Others Recruitment Jobs Skills Assessment Talent Management Training Others Others,Prototype Validation EarlyTraction Scaling,,,5e8b8be8e4b0d5becce2685b,XXXXXXX@gmail.com,0,1b6ece46-6642-4bcc-b22e-c714aa27b2e4.jpg,"[Mithileysh is an Indian-born Research Scientist working in London. Hisexpertise in technology research â€“ at both theoretical and application levelsâ€“ ranges from industrial projects to academic ones in domains such asEducation, Engineering and Healthcare. He holds a PhD from the City,University of London. He has 50+ publications in the International Forums andhas won many research awards. He has been invited as a research consultant atvarious industries for his researchexcellence.](https://sites.google.com/site/mithileysh/)  ",,,(MIT Square Service Private Limited - URL: https://www.mitsquare.com/) | (Srishti i2i Biz Solutions - URL: http://srishtibiz.com/) | (ZISCORP - URL: https://ziscorp.com/) | (Aviate Robotics - URL: https://www.aviaterobotics.com/) | (Younify Applications Private Limited - URL: https://www.younify.com/) | ,,[]
Partha Saradhi Reddy,Mentor,India,Telangana,Hyderabad,Marketing Telecommunication & Networking Design Education Enterprise Software Finance Technology Technology Hardware Healthcare & Lifesciences Sports Logistics,Branding Digital Marketing (SEO Automation) Market Research Integrated communication services Web Design Industrial Design Others E-learning Education Technology Cloud ERP CXM SCM Customer Support Collaboration Location Based Enterprise Mobility Others Mobile wallets  Payments Personal Finance Embedded Electronics Medical Devices Biomedical Biotechnology Healthcare Services Sports Promotion and Networking Others,Prototype Validation EarlyTraction Scaling,,,5e87b994e4b055bfaeaadeb0,XXXXXXX@gmail.com,0,3a658dde-f54d-48de-919a-de58b2dd9d59.jpg,"If your startup involves anything related to the online experience for yourcustomers, you got to be very accurate in achieving it.  I am an ExpertGeneralist, who can give you a world-class input regarding the Digitalplatforms from A to Z with uncompromised quality.  Only projects that pass thepreliminary screening shall be taken up.",,,,,[]
Abhinav Jolly,Mentor,India,Chandigarh,Chandigarh,Education,E-learning Education Technology Skill Development Coaching Others,Scaling,,,5e87387de4b055bfaeaada16,XXXXXXX@gmail.com,0,4dc51868-685e-4fc0-87c6-14e19b847f38.jpg,I have my own coding school in Chandigarh where I help launch Tech Careers. Wehave an offline model and we have successfully shifted our bootcamps onlinewithout any bottlenecks because of the Novel Coronavirus Situation.    I had a word with Mr. Salil Seth from your team and he invited me to join as amentor on this portal to help education based startups pivot online. I wouldlove to contribute my bit to the startup ecosystem in these exceptional times.,,,,,[]
Venkatesh U,Mentor,India,Delhi,New Delhi,Healthcare & Lifesciences,Medical Devices Biomedical Health & Wellness Biotechnology Healthcare Services Healthcare IT Healthcare Technology Others,Prototype Validation EarlyTraction Scaling,,,5e870460e4b055bfaeaad648,XXXXXXX@gmail.com,0,6f366bc8-3cd3-47d8-8f3d-878968ff7a79.jpg,"Dr. U Venkatesh1\. MD in Community Medicine2\. Currently working as Senior resident in the Department of CommunityMedicine, VMMC & Safdarjung Hospital, New Delhi.3\. Also work as External consultant with NHSRC, MoHFW, GOI4\. National trainer in Induction Module for Community Health Officers toDeliver Comprehensive Primary Health Care at Health & Wellness Centres underAyushman Bharat.",,,,,[]
